# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 26.36  0.80790E-01   140
 26.37  0.80862E-01   142
 26.38  0.80934E-01   143
 26.39  0.80964E-01   144
 26.40  0.80625E-01   145
 26.41  0.80244E-01   146
 26.42  0.80316E-01   147
 26.43  0.80346E-01   148
 26.44  0.80377E-01   149
 26.45  0.80448E-01   150
 26.46  0.80561E-01   152
 26.47  0.80674E-01   154
 26.48  0.80746E-01   156
 26.49  0.79662E-01   160
 26.50  0.78619E-01   164
 26.51  0.77534E-01   168
 26.52  0.75746E-01   173
 26.53  0.73089E-01   178
 26.54  0.70430E-01   184
 26.55  0.67810E-01   190
 26.56  0.65106E-01   194
 26.57  0.62027E-01   199
 26.58  0.59277E-01   203
 26.59  0.56152E-01   208
 26.60  0.53646E-01   210
 26.61  0.50848E-01   213
 26.62  0.48090E-01   218
 26.63  0.45288E-01   228
 26.64  0.42525E-01   236
 26.65  0.39719E-01   246
 26.66  0.37043E-01   264
 26.67  0.34370E-01   284
 26.68  0.31620E-01   304
 26.69  0.29591E-01   333
 26.70  0.29298E-01   378
 26.71  0.28673E-01   418
 26.72  0.27572E-01   453
 26.73  0.99783E-01   680
 26.74  0.11111E+00   699
 26.75  0.11090E+00   703
 26.76  0.11211E+00   707
 26.77  0.10844E+00   707
 26.78  0.10477E+00   707
 26.79  0.10147E+00   707
 26.80  0.98166E-01   707
 26.81  0.94862E-01   707
 26.82  0.91640E-01   707
 26.83  0.87955E-01   707
 26.84  0.84100E-01   707
 26.85  0.80410E-01   707
 26.86  0.76885E-01   707
 26.87  0.73482E-01   707
 26.88  0.70328E-01   707
 26.89  0.67255E-01   707
 26.90  0.64306E-01   707
 26.91  0.61564E-01   707
 26.92  0.58903E-01   707
 26.93  0.56367E-01   707
 26.94  0.53954E-01   707
 26.95  0.51540E-01   707
 26.96  0.49250E-01   707
 26.97  0.47084E-01   707
 26.98  0.44959E-01   707
 26.99  0.42874E-01   707
 27.00  0.40354E-01   706
 27.01  0.37446E-01   706
 27.02  0.34556E-01   704
 27.03  0.30296E-01   683
 27.04  0.18525E-01   416
 27.05  0.19858E-01   385
 27.06  0.21391E-01   350
 27.07  0.23199E-01   313
 27.08  0.24528E-01   305
 27.09  0.25879E-01   296
 27.10  0.27247E-01   288
 27.11  0.28186E-01   283
 27.12  0.28682E-01   281
 27.13  0.29086E-01   280
 27.14  0.29515E-01   278
 27.15  0.29382E-01   278
 27.16  0.29266E-01   276
 27.17  0.29129E-01   274
 27.18  0.28847E-01   271
 27.19  0.28481E-01   267
 27.20  0.28161E-01   263
 27.21  0.27862E-01   258
 27.22  0.27279E-01   255
 27.23  0.26551E-01   253
 27.24  0.25903E-01   251
 27.25  0.25013E-01   250
 27.26  0.23248E-01   255
 27.27  0.21494E-01   260
 27.28  0.19845E-01   265
 27.29  0.17468E-01   278
 27.30  0.14859E-01   295
 27.31  0.12496E-01   311
 27.32  0.10186E-01   331
 27.33  0.60779E-02   412
 27.34  0.36136E-02   477
 27.35  0.21906E-02   526
 27.36  0.16946E-02   500
 27.37  0.26696E-03   321
 27.38  0.44431E-03   707
 27.39  0.37452E-03   707
 27.40  0.31483E-03   707
 27.41  0.26607E-03   707
 27.42  0.22355E-03   707
 27.43  0.18877E-03   707
 27.44  0.15948E-03   707
 27.45  0.13389E-03   707
 27.46  0.11260E-03   707
 27.47  0.94716E-04   707
 27.48  0.79644E-04   707
 27.49  0.66872E-04   707
 27.50  0.56318E-04   707
 27.51  0.47341E-04   707
 27.52  0.39764E-04   707
 27.53  0.33420E-04   707
 27.54  0.30353E-04   707
 27.55  0.28425E-04   707
 27.56  0.26577E-04   707
 27.57  0.24886E-04   707
 27.58  0.23198E-04   707
 27.59  0.21742E-04   707
 27.60  0.20361E-04   707
 27.61  0.19057E-04   707
 27.62  0.17834E-04   707
 27.63  0.16687E-04   707
 27.64  0.15617E-04   707
 27.65  0.14546E-04   707
 27.66  0.13608E-04   707
 27.67  0.12725E-04   707
 27.68  0.11911E-04   707
 27.69  0.11113E-04   707
 27.70  0.10371E-04   707
 27.71  0.97054E-05   707
 27.72  0.20609E-04   658
 27.73  0.31029E-04   642
 27.74  0.74738E-04   597
 27.75  0.37836E-03   502
 27.76  0.34715E-02   332
 27.77  0.46232E-02   314
 27.78  0.60612E-02   295
 27.79  0.77859E-02   276
 27.80  0.91135E-02   265
 27.81  0.94632E-02   265
 27.82  0.97179E-02   267
 27.83  0.10068E-01   267
 27.84  0.10176E-01   269
 27.85  0.10201E-01   272
 27.86  0.10235E-01   275
 27.87  0.10282E-01   278
 27.88  0.10225E-01   281
 27.89  0.10216E-01   284
 27.90  0.10215E-01   286
 27.91  0.10058E-01   290
